"suite","cohort","task","metric","selected_pairs","measured_pairs","shell_mean_ns","transparent_mean_ns","delta_ns","delta_ci95_low_ns","delta_ci95_high_ns","ratio","ratio_ci95_low","ratio_ci95_high"
"offline","strict","environment_path_login","tool_call_ns",10,10,55594755.6,56326416,731660.4,-943549.1,2415515.8,1.013160601069357,0.9834494601855315,1.0438923073188495
"offline","strict","exec_missing_permission","codex_total_ns",10,10,10340622081.7,10340766535.3,144453.6,-7235404.8,8311253.5,1.0000139695270611,0.9992999201598795,1.0008029534128726
"offline","strict","exec_missing_permission","startup_to_ready_ns",10,0,,,,,,,,
"offline","strict","exec_missing_permission","tool_call_ns",10,10,94821221.8,97054857.7,2233635.9,326021.2,4073770,1.0235562868480146,1.003417167434664,1.0431646155887553
"offline","strict","exit_code_vs_signal","codex_total_ns",10,10,10055671351.4,9339915825.4,-715755526,-2156186162.3,6994617.8,0.9288207121148258,0.7730086074672446,1.0006768181286212
"offline","strict","exit_code_vs_signal","startup_to_ready_ns",10,10,41961275.2,44310448.2,2349173,1158984.3,3524103.4,1.0559843090755259,1.0274220632401379,1.0855775560697276
"offline","strict","exit_code_vs_signal","tool_call_ns",10,10,102074204,104614716.8,2540512.8,405778.8,4781396.8,1.0248888818177804,1.0039317988187144,1.0473294027333107
"offline","strict","exit_nonzero","codex_total_ns",10,10,10283760081.3,10288071440.4,4311359.1,-603846.8,10441980.4,1.0004192395647036,0.9999412992933738,1.001015745243241
"offline","strict","exit_nonzero","startup_to_ready_ns",10,10,20699458,22165296.8,1465838.8,430567.9,2387503.1,1.070815322797341,1.0206713385498702,1.1176850193512957
"offline","strict","exit_nonzero","tool_call_ns",10,10,55575310.5,55814739.8,239429.3,-1880984.7,2392059.7,1.004308195453087,0.9668074905772961,1.0441758381432464
"offline","strict","output_interleaved","codex_total_ns",10,10,10354131791.6,10357034266.3,2902474.7,-579536.7,6304131.8,1.0002803204323083,0.9999440538239793,1.000608972240548
"offline","strict","output_interleaved","startup_to_ready_ns",10,10,20365346.7,22302677.5,1937330.8,860994.2,2912251.3,1.0951287905155085,1.0403137435880816,1.149241103351074
"offline","strict","output_interleaved","tool_call_ns",10,10,124932974,127180726.2,2247752.2,59322.2,4286892.5,1.0179916648746392,1.0004696100751445,1.0347122937400537
"offline","strict","output_split_large","codex_total_ns",10,10,10115203758.4,10288356794.1,173153035.7,-1952147.1,518872251.4,1.0171180966627793,0.9998102722684689,1.0531156019806627
"offline","strict","output_split_large","startup_to_ready_ns",10,10,20734544.8,21281124.1,546579.3,-180738.5,1249907.6,1.0263608053744204,0.991454177771236,1.0611053542539117
"offline","strict","output_split_large","tool_call_ns",10,10,55727051.6,56558199.6,831148,-352412.7,1907254.8,1.01491462361881,0.9936693452179609,1.0348488002659797
"offline","strict","output_truncation_tail","codex_total_ns",10,10,9286966126.8,9291915985.8,4949859,414964.7,9500341.6,1.000532989884147,1.0000510532655613,1.0009590157684454
"offline","strict","output_truncation_tail","startup_to_ready_ns",10,10,20552246,21746740.9,1194494.9,143278.4,1967140,1.0581199203240366,1.0068457374810487,1.0981127362136327
"offline","strict","output_truncation_tail","tool_call_ns",10,10,57301344.6,58145261.9,843917.3,-715784.5,2636829,1.014727705010957,0.9876997440370942,1.0467359086011392
"offline","strict","session_cancel_resources","codex_total_ns",10,10,16679943507.6,17086723015,406779507.4,-12097472,1202741856.9,1.0243873432313877,0.9993111669960666,1.0806092297872985
"offline","strict","session_cancel_resources","startup_to_ready_ns",10,10,257921915.7,264128828.4,6206912.7,2683202.4,9713259.1,1.024065084516585,1.01036976683922,1.0376647049889576
"offline","strict","session_cancel_resources","tool_call_ns",10,10,7329918747.6,7337870200.1,7951452.5,-24772395.2,44472564.4,1.0010847940848735,0.996620335137775,1.006052910478788
"offline","strict","session_failure_recovery","codex_total_ns",10,10,9334273261.9,9445504023.4,111230761.5,-188378.1,329541473.3,1.0119163815306345,0.9999817749583579,1.0449393938957963
"offline","strict","session_failure_recovery","startup_to_ready_ns",10,10,41182766.8,43411307.4,2228540.6,752571.7,3701866.9,1.0541134259099854,1.0182314342754706,1.091604034189622
"offline","strict","session_failure_recovery","tool_call_ns",10,10,102009963.3,106205313.8,4195350.5,2290784.2,6119641.5,1.041126870006432,1.022099863687094,1.0606691077592383
"offline","strict","session_poll","codex_total_ns",10,10,12497109767.2,11492798590.3,-1004311176.9,-3014615839.6,15271713.9,0.9196365243157323,0.7588606300949197,1.0012233445697063
"offline","strict","session_poll","startup_to_ready_ns",10,10,20819655.7,21592489,772833.3,-331698.4,1858082.1,1.037120368902162,0.984757359077532,1.0919477214502502
"offline","strict","session_poll","tool_call_ns",10,10,2262129675.2,2258102172.2,-4027503,-31467617.1,21380269.6,0.9982195967613378,0.9862223346946833,1.0094761352827146
