pair_id,backend,task_id,observation,sample_phase,status,startup_ns,spawn_return_ns,fixture_ready_ns
"formal-full-native-noop-0067","transparent","native-noop","full","formal","success","1024532","22914555397359","22914556273608"
"formal-full-native-noop-0068","shell","native-noop","full","formal","success","412137","22914585295727","22914585605439"
"formal-full-native-noop-0068","transparent","native-noop","full","formal","success","860735","22914592086445","22914592808370"
"formal-full-native-noop-0069","shell","native-noop","full","formal","success","435417","22914606859899","22914607171184"
"formal-full-native-noop-0069","transparent","native-noop","full","formal","success","958734","22914599399145","22914600239430"
"formal-full-native-noop-0070","shell","native-noop","full","formal","success","430887","22914628941760","22914629249150"
"formal-full-native-noop-0070","transparent","native-noop","full","formal","success","960035","22914635654046","22914636494914"
"formal-full-native-noop-0071","shell","native-noop","full","formal","success","422542","22914650551818","22914650854627"
"formal-full-native-noop-0071","transparent","native-noop","full","formal","success","931970","22914643316769","22914644127087"
"formal-full-native-noop-0072","shell","native-noop","full","formal","success","407954","22914672442573","22914672739631"
"formal-full-native-noop-0072","transparent","native-noop","full","formal","success","930361","22914679010005","22914679770851"
"formal-full-native-noop-0073","shell","native-noop","full","formal","success","427373","22914693762595","22914694067081"
"formal-full-native-noop-0073","transparent","native-noop","full","formal","success","953968","22914686331745","22914687174595"
"formal-full-native-noop-0074","shell","native-noop","full","formal","success","475624","22914716204279","22914716515594"
"formal-full-native-noop-0074","transparent","native-noop","full","formal","success","929112","22914722847788","22914723656373"
"formal-full-native-noop-0075","shell","native-noop","full","formal","success","433805","22914737569044","22914737877639"
"formal-full-native-noop-0075","transparent","native-noop","full","formal","success","986921","22914730207606","22914731086919"
"formal-full-native-noop-0076","shell","native-noop","full","formal","success","415645","22914760201893","22914760513891"
"formal-full-native-noop-0076","transparent","native-noop","full","formal","success","989802","22914767069686","22914767926169"
"formal-full-native-noop-0077","shell","native-noop","full","formal","success","449641","22914782207921","22914782528198"
"formal-full-native-noop-0077","transparent","native-noop","full","formal","success","1051911","22914774573135","22914775493635"
"formal-full-native-noop-0078","shell","native-noop","full","formal","success","491277","22914805399007","22914805742015"
"formal-full-native-noop-0078","transparent","native-noop","full","formal","success","1093544","22914812338808","22914813271725"
"formal-full-native-noop-0079","shell","native-noop","full","formal","success","436760","22914827472261","22914827786274"
"formal-full-native-noop-0079","transparent","native-noop","full","formal","success","1047933","22914819946789","22914820832989"
"formal-full-native-noop-0080","shell","native-noop","full","formal","success","419255","22914850413824","22914850725383"
"formal-full-native-noop-0080","transparent","native-noop","full","formal","success","1025182","22914857206198","22914858128613"
"formal-full-native-noop-0081","shell","native-noop","full","formal","success","429530","22914872391445","22914872690854"
"formal-full-native-noop-0081","transparent","native-noop","full","formal","success","988036","22914864664211","22914865542773"
"formal-full-native-noop-0082","shell","native-noop","full","formal","success","438306","22914895100456","22914895404452"
"formal-full-native-noop-0082","transparent","native-noop","full","formal","success","901387","22914901885683","22914902669158"
"formal-full-native-noop-0083","shell","native-noop","full","formal","success","434192","22914916366776","22914916691857"
"formal-full-native-noop-0083","transparent","native-noop","full","formal","success","889384","22914909106343","22914909826070"
"formal-full-native-noop-0084","shell","native-noop","full","formal","success","410552","22914938585242","22914938876605"
"formal-full-native-noop-0084","transparent","native-noop","full","formal","success","972874","22914945211650","22914946075726"
"formal-full-native-noop-0085","shell","native-noop","full","formal","success","434446","22914960194500","22914960525914"
